year,make,model,odometer,sellingprice,transmission,color,interior
2013,Subaru,Legacy,24734,9800,automatic,red,black
2013,Subaru,Forester,60564,14000,automatic,—,gray
2013,Subaru,Impreza,20091,18500,automatic,silver,black
2012,Subaru,Impreza,27182,23750,manual,blue,black
2012,Subaru,Forester,32594,16000,automatic,gray,gray
2012,Subaru,Impreza,36323,20800,manual,blue,black
2012,Subaru,Legacy,69460,12500,automatic,gray,black
2011,Subaru,Impreza,35159,13000,automatic,silver,black
2011,Subaru,Impreza,49955,10700,automatic,blue,black
2011,Subaru,Outback,52776,13500,automatic,white,gray
2011,Subaru,Outback,42814,17250,automatic,gray,black
2011,Subaru,Outback,52980,16900,automatic,blue,black
2011,Subaru,Impreza,65983,9250,manual,gray,black
2010,Subaru,Forester,89565,10000,NA,NA,NA
2010,Subaru,Impreza,48391,10750,automatic,charcoal,black
2009,Subaru,Impreza,64423,15000,manual,blue,black
2009,Subaru,Impreza,106044,12500,manual,blue,black
2008,Subaru,Impreza,54343,19250,manual,red,—
2007,Subaru,Impreza,61246,13400,manual,gray,gray
2006,Subaru,Impreza,163374,3100,automatic,gray,black
2005,Subaru,Impreza,79755,19900,manual,silver,—
2005,Subaru,Outback,184864,3500,automatic,silver,—
2005,Subaru,Impreza,131965,8400,manual,blue,black
2005,Subaru,Impreza,65907,5500,manual,black,—
2004,Subaru,Outback,186711,2200,manual,white,—
2002,Subaru,Outback,128076,5100,automatic,white,—
2002,Subaru,Outback,154972,500,manual,green,beige
2002,Subaru,Outback,324030,1000,automatic,green,beige
1997,Subaru,Legacy,193138,400,automatic,blue,gray
2014,Subaru,Forester,27348,27500,automatic,white,black
2013,Subaru,Outback,57093,19700,automatic,green,beige
2012,Subaru,Outback,60697,15100,automatic,silver,black
2011,Subaru,Outback,24909,22400,automatic,gray,black
2009,Subaru,Impreza,100143,12500,manual,white,black
2006,Subaru,Impreza,88708,10000,NA,blue,—
2006,Subaru,Outback,132697,5300,automatic,green,beige
2005,Subaru,Legacy,157439,4000,automatic,silver,black
2004,Subaru,Outback,101540,4200,automatic,blue,—
2000,Subaru,Outback,119621,3000,automatic,green,—
2012,Subaru,Legacy,36994,13000,NA,blue,black
2012,Subaru,Legacy,31913,14600,manual,blue,black
2012,Subaru,Outback,45856,15500,NA,gray,black
2012,Subaru,Legacy,44239,14400,NA,white,beige
2012,Subaru,Forester,17087,20000,automatic,white,gray
2012,Subaru,Legacy,31667,13600,NA,gray,black
2012,Subaru,Legacy,62305,12800,automatic,gray,black
2012,Subaru,Impreza,54835,11501,NA,gray,black
2012,Subaru,Outback,77518,15700,automatic,blue,tan
2012,Subaru,Legacy,33107,12700,NA,black,beige
2012,Subaru,Legacy,25021,14400,automatic,gray,black
2012,Subaru,Legacy,87364,10500,automatic,gray,black
2012,Subaru,Outback,64623,16000,NA,green,gray
2012,Subaru,Outback,74143,16500,automatic,gray,black
2012,Subaru,Legacy,38806,14600,automatic,burgundy,black
2012,Subaru,Outback,42018,21200,automatic,black,beige
2012,Subaru,Outback,75068,14000,NA,gray,black
2012,Subaru,Forester,22938,18800,NA,gray,gray
2012,Subaru,Legacy,35062,15000,NA,gray,black
2012,Subaru,Impreza,46918,27000,manual,blue,gray
2012,Subaru,Outback,82539,12300,automatic,silver,black
2012,Subaru,Impreza,13605,14200,automatic,white,beige
2012,Subaru,Legacy,26237,13700,NA,blue,beige
2012,Subaru,Outback,80192,14200,automatic,white,tan
2012,Subaru,Legacy,37504,12000,automatic,silver,black
2012,Subaru,Impreza,7613,12000,NA,purple,beige
2012,Subaru,Legacy,23875,18400,automatic,white,—
2012,Subaru,Outback,73084,16900,automatic,white,tan
2012,Subaru,Outback,72696,14800,automatic,white,tan
2012,Subaru,Impreza,8300,17000,NA,silver,black
2012,Subaru,Legacy,18356,13200,automatic,white,gray
2012,Subaru,Forester,76728,15000,automatic,silver,gray
2012,Subaru,Impreza,32681,27200,manual,black,gray
2011,Subaru,Forester,29379,17750,NA,gray,gray
2011,Subaru,Legacy,30459,14700,NA,red,black
2011,Subaru,Legacy,22843,14600,automatic,blue,black
2011,Subaru,Impreza,29684,15000,automatic,black,beige
2011,Subaru,Impreza,30163,21300,manual,blue,black
2011,Subaru,Impreza,38784,13000,NA,silver,black
2011,Subaru,Outback,44192,17000,NA,green,gray
2011,Subaru,Forester,33583,16600,NA,silver,black
